Date,Flows_(Amt)_Open_ended_(Existing)_T,Flows_(Amt)_Open_ended_(Existing)_T_1,Flows_(Amt)_Open_ended_(Existing)_T_2,Flows_(Amt)_Open_ended_(Existing)_T_3,Benchmark_Returns_T,Benchmark_Returns_T_1,Benchmark_Returns_T_2,Benchmark_Returns_T_3,No_of_funds_closed_ended_(New) ,Flows_in_Open_Ended_(Amt)
Nov-10,5476,4914,5116,4750,-3.917316172,0.656651366,9.529969519,1.173038436,0,-
Oct-10,4914,5116,4750,4311,0.656651366,9.529969519,1.173038436,1.593581681,2,106
Sep-10,5116,4750,4311,3869,9.529969519,1.173038436,1.593581681,4.568167175,4,677
Aug-10,4750,4311,3869,5282,1.173038436,1.593581681,4.568167175,-3.696178159,1,178
Jul-10,4311,3869,5282,4777,1.593581681,4.568167175,-3.696178159,1.779450976,2,705
Jun-10,3869,5282,4777,6176,4.568167175,-3.696178159,1.779450976,6.154443282,6,1068
May-10,5282,4777,6176,5006,-3.696178159,1.779450976,6.154443282,0.130263138,0,-
Apr-10,4777,6176,5006,6246,1.779450976,6.154443282,0.130263138,-4.857320326,1,4
Mar-10,6176,5006,6246,4044,6.154443282,0.130263138,-4.857320326,3.906921509,1,41
Feb-10,5006,6246,4044,3562,0.130263138,-4.857320326,3.906921509,7.204803311,0,-
Jan-10,6246,4044,3562,4256,-4.857320326,3.906921509,7.204803311,-6.261798482,3,1590
Dec-09,4044,3562,4256,3330,3.906921509,7.204803311,-6.261798482,8.40649769,0,-
Nov-09,3562,4256,3330,3917,7.204803311,-6.261798482,8.40649769,1.754601557,1,229
Oct-09,4256,3330,3917,6229,-6.261798482,8.40649769,1.754601557,8.16364805,0,-
Sep-09,3330,3917,6229,5488,8.40649769,1.754601557,8.16364805,-0.511208731,5,826
Aug-09,3917,6229,5488,4678,1.754601557,8.16364805,-0.511208731,33.32584617,3,82
Jul-09,6229,5488,4678,1807,8.16364805,-0.511208731,33.32584617,17.50772663,2,2394
Jun-09,5488,4678,1807,1489,-0.511208731,33.32584617,17.50772663,9.016401051,1,10
May-09,4678,1807,1489,1552,33.32584617,17.50772663,9.016401051,-5.680292755,2,-
Apr-09,1807,1489,1552,1402,17.50772663,9.016401051,-5.680292755,-4.728859975,1,4
Mar-09,1489,1552,1402,1289,9.016401051,-5.680292755,-4.728859975,9.140975847,1,50
Feb-09,1552,1402,1289,1360,-5.680292755,-4.728859975,9.140975847,-7.688084547,0,-
Jan-09,1402,1289,1360,1923,-4.728859975,9.140975847,-7.688084547,-27.10557642,1,3
Dec-08,1289,1360,1923,2728,9.140975847,-7.688084547,-27.10557642,-13.03238385,1,239
Nov-08,1360,1923,2728,2013,-7.688084547,-27.10557642,-13.03238385,1.913579465,4,20
Oct-08,1923,2728,2013,2521,-27.10557642,-13.03238385,1.913579465,5.951639098,3,39
Sep-08,2728,2013,2521,3339,-13.03238385,1.913579465,5.951639098,-19.45337198,3,111
Aug-08,2013,2521,3339,3949,1.913579465,5.951639098,-19.45337198,-5.955820091,3,165
Jul-08,2521,3339,3949,3425,5.951639098,-19.45337198,-5.955820091,11.81952391,1,1
Jun-08,3339,3949,3425,6695,-19.45337198,-5.955820091,11.81952391,-13.37695481,4,415
May-08,3949,3425,6695,4199,-5.955820091,11.81952391,-13.37695481,-0.724996962,1,590
Apr-08,3425,6695,4199,11195,11.81952391,-13.37695481,-0.724996962,-16.67048786,5,646
Mar-08,6695,4199,11195,8608,-13.37695481,-0.724996962,-16.67048786,9.235340034,0,-
Feb-08,4199,11195,8608,7999,-0.724996962,-16.67048786,9.235340034,1.037350261,2,6051
Jan-08,11195,8608,7999,8446,-16.67048786,9.235340034,1.037350261,14.93576476,2,1371
Dec-07,8608,7999,8446,4717,9.235340034,1.037350261,14.93576476,13.83890382,2,747
Nov-07,7999,8446,4717,7017,1.037350261,14.93576476,13.83890382,-1.8651867,0,-
Oct-07,8446,4717,7017,4940,14.93576476,13.83890382,-1.8651867,4.874796112,8,3748
Sep-07,4717,7017,4940,3968,13.83890382,-1.8651867,4.874796112,2.381306558,2,1408
Aug-07,7017,4940,3968,4286,-1.8651867,4.874796112,2.381306558,6.324008714,2,2899
Jul-07,4940,3968,4286,4564,4.874796112,2.381306558,6.324008714,7.176831692,1,1505
Jun-07,3968,4286,4564,6453,2.381306558,6.324008714,7.176831692,0.350541101,2,1907
May-07,4286,4564,6453,6807,6.324008714,7.176831692,0.350541101,-8.701335439,1,1530
Apr-07,4564,6453,6807,5385,7.176831692,0.350541101,-8.701335439,2.617269616,5,741
Mar-07,6453,6807,5385,6151,0.350541101,-8.701335439,2.617269616,0.823110604,1,43
Feb-07,6807,5385,6151,7192,-8.701335439,2.617269616,0.823110604,5.453698231,0,-
Jan-07,5385,6151,7192,5433,2.617269616,0.823110604,5.453698231,4.59314678,0,-
Dec-06,6151,7192,5433,5750,0.823110604,5.453698231,4.59314678,7.138303932,5,2657
Nov-06,7192,5433,5750,3887,5.453698231,4.59314678,7.138303932,9.789225771,2,1671
Oct-06,5433,5750,3887,1391,4.59314678,7.138303932,9.789225771,-0.013399603,0,-
Sep-06,5750,3887,1391,2573,7.138303932,9.789225771,-0.013399603,-3.077492887,0,-
Aug-06,3887,1391,2573,9654,9.789225771,-0.013399603,-3.077492887,-13.90968025,0,-
Jul-06,1391,2573,9654,5471,-0.013399603,-3.077492887,-13.90968025,6.929792128,1,651
Jun-06,2573,9654,5471,5332,-3.077492887,-13.90968025,6.929792128,9.362068924,1,375
May-06,9654,5471,5332,2085,-13.90968025,6.929792128,9.362068924,3.123876393,4,5884
Apr-06,5471,5332,2085,4134,6.929792128,9.362068924,3.123876393,5.505853592,1,33
Mar-06,5332,2085,4134,5410,9.362068924,3.123876393,5.505853592,6.377982104,10,10063
Feb-06,2085,4134,5410,3170,3.123876393,5.505853592,6.377982104,11.55723124,5,8121
Jan-06,4134,5410,3170,4246,5.505853592,6.377982104,11.55723124,-9.1753435,0,-
Dec-05,5410,3170,4246,4530,6.377982104,11.55723124,-9.1753435,7.602505347,3,427
Nov-05,3170,4246,4530,3543,11.55723124,-9.1753435,7.602505347,4.743373934,3,1583
Oct-05,4246,4530,3543,3495,-9.1753435,7.602505347,4.743373934,6.709330638,2,1000
Sep-05,4530,3543,3495,3655,7.602505347,4.743373934,6.709330638,3.50311042,5,3566
Aug-05,3543,3495,3655,1872,4.743373934,6.709330638,3.50311042,8.37770542,4,3912
Jul-05,3495,3655,1872,3422,6.709330638,3.50311042,8.37770542,-4.540235349,2,838
Jun-05,3655,1872,3422,1812,3.50311042,8.37770542,-4.540235349,-3.220144038,2,857
May-05,1872,3422,1812,2222,8.37770542,-4.540235349,-3.220144038,3.63691046,7,4136
Apr-05,3422,1812,2222,2763,-4.540235349,-3.220144038,3.63691046,-1.912470995,2,739
Mar-05,1812,2222,2763,3873,-3.220144038,3.63691046,-1.912470995,9.076033214,8,7016
Feb-05,2222,2763,3873,2309,3.63691046,-1.912470995,9.076033214,9.876255767,3,958
Jan-05,2763,3873,2309,2150,-1.912470995,9.076033214,9.876255767,1.86352317,2,193
Dec-04,3873,2309,2150,2117,9.076033214,9.876255767,1.86352317,7.114059229,1,750
Nov-04,2309,2150,2117,1636,9.876255767,1.86352317,7.114059229,2.132842605,2,495
Oct-04,2150,2117,1636,1681,1.86352317,7.114059229,2.132842605,8.18596721,3,636
Sep-04,2117,1636,1681,632,7.114059229,2.132842605,8.18596721,1.693141271,3,846
Aug-04,1636,1681,632,2778,2.132842605,8.18596721,1.693141271,-18.50296177,2,164
Jul-04,1681,632,2778,1908,8.18596721,1.693141271,-18.50296177,3.460955607,3,123
Jun-04,632,2778,1908,3192,1.693141271,-18.50296177,3.460955607,0.68165194,2,280
May-04,2778,1908,3192,2087,-18.50296177,3.460955607,0.68165194,-0.819821704,1,5
Apr-04,1908,3192,2087,3894,3.460955607,0.68165194,-0.819821704,-5.051217904,6,337
Mar-04,3192,2087,3894,4569,0.68165194,-0.819821704,-5.051217904,0,3,361
